universe,min_history_days,min_daily_dollar_volume,earliest_universe_date,weight_name,stop_lb,seed_asset,risk_off_asset,multiple,cagr,sharpe,max_drawdown,annualized_turnover
medium,60,10000000,2023-01-30,balanced,13,btc,btc,43.32909462474067,2.0109640925001155,1.7758927764945145,-0.5012379292641217,35.74098646847043
medium,60,10000000,2023-01-30,balanced,13,eth,btc,43.32909462474067,2.0109640925001155,1.7758927764945145,-0.5012379292641217,35.74098646847043
medium,60,10000000,2023-01-30,balanced,13,cash,btc,43.32909462474067,2.0109640925001155,1.7758927764945145,-0.5012379292641217,35.74098646847043
loose,30,5000000,2022-12-31,balanced,12,btc,btc,40.02850930406462,1.9419934158861905,1.7908638776098387,-0.48646985292617617,35.74154247094942
loose,30,5000000,2022-12-31,balanced,12,eth,btc,40.02850930406462,1.9419934158861905,1.7908638776098387,-0.48646985292617617,35.74154247094942
loose,30,5000000,2022-12-31,balanced,12,cash,btc,40.02850930406462,1.9419934158861905,1.7908638776098387,-0.48646985292617617,35.74154247094942
medium,60,10000000,2023-01-30,balanced,12,btc,btc,39.0859343692911,1.9215610740979803,1.7532137908029448,-0.48142600891769094,35.741898817344236
medium,60,10000000,2023-01-30,balanced,12,eth,btc,39.0859343692911,1.9215610740979803,1.7532137908029448,-0.48142600891769094,35.741898817344236
medium,60,10000000,2023-01-30,balanced,12,cash,btc,39.0859343692911,1.9215610740979803,1.7532137908029448,-0.48142600891769094,35.741898817344236
loose,30,5000000,2022-12-31,short_accel,14,btc,btc,34.411066745799815,1.814718396723313,1.7236633804897348,-0.5746927933893389,36.911466714380154
loose,30,5000000,2022-12-31,short_accel,14,eth,btc,34.411066745799815,1.814718396723313,1.7236633804897348,-0.5746927933893389,36.911466714380154
loose,30,5000000,2022-12-31,short_accel,14,cash,btc,34.411066745799815,1.814718396723313,1.7236633804897348,-0.5746927933893389,36.911466714380154
loose,30,5000000,2022-12-31,base,13,btc,btc,33.78199079804784,1.7995706779758058,1.7335424813771703,-0.5398500349388433,35.7410724982777
loose,30,5000000,2022-12-31,base,13,eth,btc,33.78199079804784,1.7995706779758058,1.7335424813771703,-0.5398500349388433,35.7410724982777
loose,30,5000000,2022-12-31,base,13,cash,btc,33.78199079804784,1.7995706779758058,1.7335424813771703,-0.5398500349388433,35.7410724982777
medium,60,10000000,2023-01-30,short_accel,14,btc,btc,33.57636411431802,1.794576070450626,1.7073753499574884,-0.574692793389338,36.32550985042376
medium,60,10000000,2023-01-30,short_accel,14,eth,btc,33.57636411431802,1.794576070450626,1.7073753499574884,-0.574692793389338,36.32550985042376
medium,60,10000000,2023-01-30,short_accel,14,cash,btc,33.57636411431802,1.794576070450626,1.7073753499574884,-0.574692793389338,36.32550985042376
loose,30,5000000,2022-12-31,balanced,14,btc,btc,31.18885093074281,1.7349345175001698,1.6712559884443896,-0.5746927933893384,36.911421389108185
loose,30,5000000,2022-12-31,balanced,14,eth,btc,31.18885093074281,1.7349345175001698,1.6712559884443896,-0.5746927933893384,36.911421389108185
