variant,weights,freq,stop_lb,multiple,cagr,sharpe,mdd,turnover
exbtc,all_best,15D,14,2.1094639368017645,0.2439701252525519,0.721847123113856,-0.4937867541496965,20.49599493401182
exbtc,all_alt,15D,14,2.1094639368017645,0.2439701252525519,0.721847123113856,-0.4937867541496965,20.49599493401182
all,all_best,12D,12,1.9907143646144427,0.22306780501350087,0.6889688484521399,-0.5240733387659751,21.08299742753746
all,all_alt,12D,12,1.9907143646144427,0.22306780501350087,0.6889688484521399,-0.5240733387659751,21.08299742753746
exbtc,all_best,12D,12,1.9907143646144427,0.22306780501350087,0.6889688484521399,-0.5240733387659751,21.08299742753746
exbtc,all_alt,12D,12,1.9907143646144427,0.22306780501350087,0.6889688484521399,-0.5240733387659751,21.08299742753746
all,all_best,15D,13,1.925102758894744,0.2111380638826006,0.6679898304153848,-0.5212856061984037,19.9089783816087
all,all_alt,15D,13,1.925102758894744,0.2111380638826006,0.6679898304153848,-0.5212856061984037,19.9089783816087
exbtc,all_best,15D,13,1.925102758894744,0.2111380638826006,0.6679898304153848,-0.5212856061984037,19.9089783816087
exbtc,all_alt,15D,13,1.925102758894744,0.2111380638826006,0.6679898304153848,-0.5212856061984037,19.9089783816087
