rebalance_date,strategy,coin_id,coin_rank,coin_score,coin_weight
2021-01-31,TOP20_SECTOR_top3_monthly__bull_only,chainlink,3,,0.16666666666666666
2021-01-31,TOP20_SECTOR_top3_monthly__bull_only,the-graph,4,,0.16666666666666666
2021-01-31,TOP20_SECTOR_top3_monthly__bull_only,uniswap,5,,0.16666666666666666
2021-01-31,TOP20_SECTOR_top4_monthly__always_on,dogecoin,1,,0.25
2021-01-31,TOP20_SECTOR_top4_monthly__always_on,aave,2,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__always_on,algorand,3,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__always_on,chainlink,4,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__always_on,ethereum,5,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__always_on,the-graph,6,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__always_on,uniswap,7,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__bull_only,dogecoin,1,,0.25
2021-01-31,TOP20_SECTOR_top4_monthly__bull_only,aave,2,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__bull_only,algorand,3,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__bull_only,chainlink,4,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__bull_only,ethereum,5,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__bull_only,the-graph,6,,0.125
2021-01-31,TOP20_SECTOR_top4_monthly__bull_only,uniswap,7,,0.125
2021-02-12,TOP20_MOM_top4_biweekly__always_on,aave,1,,0.25
2021-02-12,TOP20_MOM_top4_biweekly__always_on,avalanche-2,2,,0.25
2021-02-12,TOP20_MOM_top4_biweekly__always_on,dogecoin,3,,0.25
2021-02-12,TOP20_MOM_top4_biweekly__always_on,the-graph,4,,0.25
2021-02-12,TOP20_MOM_top4_biweekly__bull_only,aave,1,,0.25
2021-02-12,TOP20_MOM_top4_biweekly__bull_only,avalanche-2,2,,0.25
2021-02-12,TOP20_MOM_top4_biweekly__bull_only,dogecoin,3,,0.25
2021-02-12,TOP20_MOM_top4_biweekly__bull_only,the-graph,4,,0.25
2021-02-12,TOP20_MOM_top6_biweekly__always_on,aave,1,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__always_on,avalanche-2,2,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__always_on,cardano,3,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__always_on,dogecoin,4,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__always_on,the-graph,5,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__always_on,uniswap,6,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__bull_only,aave,1,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__bull_only,avalanche-2,2,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__bull_only,cardano,3,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__bull_only,dogecoin,4,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__bull_only,the-graph,5,,0.16666666666666666
2021-02-12,TOP20_MOM_top6_biweekly__bull_only,uniswap,6,,0.16666666666666666
2021-02-12,TOP20_MOM_top8_biweekly__always_on,aave,1,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__always_on,algorand,2,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__always_on,avalanche-2,3,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__always_on,cardano,4,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__always_on,dogecoin,5,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__always_on,polkadot,6,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__always_on,the-graph,7,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__always_on,uniswap,8,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__bull_only,aave,1,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__bull_only,algorand,2,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__bull_only,avalanche-2,3,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__bull_only,cardano,4,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__bull_only,dogecoin,5,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__bull_only,polkadot,6,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__bull_only,the-graph,7,,0.125
2021-02-12,TOP20_MOM_top8_biweekly__bull_only,uniswap,8,,0.125
2021-02-12,TOP20_SECTOR_top2_biweekly__always_on,dogecoin,1,,0.7
2021-02-12,TOP20_SECTOR_top2_biweekly__always_on,chainlink,2,,0.15000000000000002
2021-02-12,TOP20_SECTOR_top2_biweekly__always_on,the-graph,3,,0.15000000000000002
2021-02-12,TOP20_SECTOR_top2_biweekly__bull_only,dogecoin,1,,0.7
2021-02-12,TOP20_SECTOR_top2_biweekly__bull_only,chainlink,2,,0.15000000000000002
2021-02-12,TOP20_SECTOR_top2_biweekly__bull_only,the-graph,3,,0.15000000000000002
2021-02-12,TOP20_SECTOR_top3_biweekly__always_on,dogecoin,1,,0.3333333333333333
2021-02-12,TOP20_SECTOR_top3_biweekly__always_on,aave,2,,0.16666666666666666
2021-02-12,TOP20_SECTOR_top3_biweekly__always_on,chainlink,3,,0.16666666666666666
2021-02-12,TOP20_SECTOR_top3_biweekly__always_on,the-graph,4,,0.16666666666666666
2021-02-12,TOP20_SECTOR_top3_biweekly__always_on,uniswap,5,,0.16666666666666666
2021-02-12,TOP20_SECTOR_top3_biweekly__bull_only,dogecoin,1,,0.3333333333333333
2021-02-12,TOP20_SECTOR_top3_biweekly__bull_only,aave,2,,0.16666666666666666
2021-02-12,TOP20_SECTOR_top3_biweekly__bull_only,chainlink,3,,0.16666666666666666
2021-02-12,TOP20_SECTOR_top3_biweekly__bull_only,the-graph,4,,0.16666666666666666
2021-02-12,TOP20_SECTOR_top3_biweekly__bull_only,uniswap,5,,0.16666666666666666
2021-02-12,TOP20_SECTOR_top4_biweekly__always_on,binancecoin,1,,0.25
2021-02-12,TOP20_SECTOR_top4_biweekly__always_on,dogecoin,2,,0.25
2021-02-12,TOP20_SECTOR_top4_biweekly__always_on,aave,3,,0.125
2021-02-12,TOP20_SECTOR_top4_biweekly__always_on,chainlink,4,,0.125
2021-02-12,TOP20_SECTOR_top4_biweekly__always_on,the-graph,5,,0.125
2021-02-12,TOP20_SECTOR_top4_biweekly__always_on,uniswap,6,,0.125
2021-02-12,TOP20_SECTOR_top4_biweekly__bull_only,binancecoin,1,,0.25
2021-02-12,TOP20_SECTOR_top4_biweekly__bull_only,dogecoin,2,,0.25
2021-02-12,TOP20_SECTOR_top4_biweekly__bull_only,aave,3,,0.125
2021-02-12,TOP20_SECTOR_top4_biweekly__bull_only,chainlink,4,,0.125
2021-02-12,TOP20_SECTOR_top4_biweekly__bull_only,the-graph,5,,0.125
2021-02-12,TOP20_SECTOR_top4_biweekly__bull_only,uniswap,6,,0.125
2021-02-26,TOP20_MOM_top4_biweekly__always_on,binancecoin,1,,0.25
2021-02-26,TOP20_MOM_top4_biweekly__always_on,cardano,2,,0.25
2021-02-26,TOP20_MOM_top4_biweekly__always_on,polkadot,3,,0.25
2021-02-26,TOP20_MOM_top4_biweekly__always_on,uniswap,4,,0.25
2021-02-26,TOP20_MOM_top4_biweekly__bull_only,binancecoin,1,,0.25
2021-02-26,TOP20_MOM_top4_biweekly__bull_only,cardano,2,,0.25
2021-02-26,TOP20_MOM_top4_biweekly__bull_only,polkadot,3,,0.25
2021-02-26,TOP20_MOM_top4_biweekly__bull_only,uniswap,4,,0.25
2021-02-26,TOP20_MOM_top6_biweekly__always_on,aave,1,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__always_on,binancecoin,2,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__always_on,cardano,3,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__always_on,near,4,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__always_on,polkadot,5,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__always_on,uniswap,6,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__bull_only,aave,1,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__bull_only,binancecoin,2,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__bull_only,cardano,3,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__bull_only,near,4,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__bull_only,polkadot,5,,0.16666666666666666
2021-02-26,TOP20_MOM_top6_biweekly__bull_only,uniswap,6,,0.16666666666666666
2021-02-26,TOP20_MOM_top8_biweekly__always_on,aave,1,,0.125
2021-02-26,TOP20_MOM_top8_biweekly__always_on,binancecoin,2,,0.125
