strategy,universe_setting,min_history_days,min_daily_dollar_volume,earliest_universe_date,variant,stop_lookback,immediate_reentry,risk_on_fraction,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,calmar,monthly_win_rate,annualized_turnover,avg_turnover_per_rebalance,average_holdings,multiple
strict__momentum_lead_top1_biweekly_w0__stop21__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top1_biweekly_w0,21.0,False,0.5488782051282052,5.600866366271988,0.7366288273600681,0.6898700085892886,1.1172769501882565,2.346513652202146,-0.5890930173586493,1.250445694744327,0.2619047619047619,14.643306860811643,1.1643738109138535,0.22916666666666666,6.600866366271988
loose__momentum_lead_top1_biweekly_w0__stop18__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,18.0,False,0.5584935897435898,5.5725540892436705,0.7344470057539423,0.6782668674002426,1.1217724180299342,2.3387480234153406,-0.6258734226192572,1.1734753054064968,0.21428571428571427,15.22841597914733,1.1319275248347747,0.21794871794871795,6.5725540892436705
loose__momentum_lead_top1_7D_w0__stop14__reentry1,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_7D_w0,14.0,True,0.561698717948718,5.5637242512689475,0.7337651941427263,0.611847111101306,1.1749978265914574,2.608399903569143,-0.44419840997493243,1.6518861339105988,0.30952380952380953,25.762028510374137,1.0009654913121706,0.1530448717948718,6.5637242512689475
loose__momentum_lead_top1_biweekly_w0__stop16__reentry1,loose,30.0,5000000.0,2022-12-31,momentum_lead_top1_biweekly_w0,16.0,True,0.5608974358974359,5.496917933175738,0.7285854799071683,0.7206210283161888,1.0915290871384877,2.2323851084080415,-0.5996266017110086,1.2150653053553346,0.23809523809523808,35.141142980116165,1.1335266590639694,0.2956730769230769,6.496917933175738
strict__sector_lead_top1_biweekly__stop14__reentry0,strict,90.0,25000000.0,2023-02-27,sector_lead_top1_biweekly,14.0,False,0.561698717948718,5.3553454648835945,0.7174830653118403,0.5300279444512802,1.271237689281957,2.549063928416319,-0.4161563160837787,1.7240710703701054,0.38095238095238093,15.812211892105475,1.1263493402595681,0.19230769230769232,6.3553454648835945
strict__momentum_lead_top3_biweekly_w1__stop0__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top3_biweekly_w1,0.0,False,1.0,5.085888352629994,0.6958585518647058,0.703017673695481,1.088603480059967,2.0878161869038454,-0.5415237057054878,1.285001089579547,0.35714285714285715,15.46094596632759,1.174749501733749,1.3461538461538463,6.085888352629994
loose__momentum_lead_top3_biweekly_w1__stop0__reentry0,loose,30.0,5000000.0,2022-12-31,momentum_lead_top3_biweekly_w1,0.0,False,1.0,5.084160599526595,0.6957177302797892,0.704633755481412,1.0862254528907234,2.061534853940813,-0.5605851622333615,1.2410562696808847,0.3333333333333333,16.512183600420517,1.254624361237431,1.3461538461538463,6.084160599526595
strict__momentum_lead_top2_biweekly_w0__stop12__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top2_biweekly_w0,12.0,False,0.5584935897435898,5.06155753110206,0.6938728415312561,0.46310080034076456,1.3622099605799125,2.5651104577125516,-0.3692811026680146,1.87898280339314,0.3333333333333333,14.650743255841975,1.022316331187631,0.3701923076923077,6.06155753110206
strict__momentum_lead_top2_biweekly_w1__stop12__reentry0,strict,90.0,25000000.0,2023-02-27,momentum_lead_top2_biweekly_w1,12.0,False,0.5584935897435898,5.06155753110206,0.6938728415312561,0.46310080034076456,1.3622099605799125,2.5651104577125516,-0.3692811026680146,1.87898280339314,0.3333333333333333,14.650743255841975,1.022316331187631,0.3701923076923077,6.06155753110206
medium__momentum_lead_top3_biweekly_w1__stop0__reentry0,medium,60.0,10000000.0,2023-01-30,momentum_lead_top3_biweekly_w1,0.0,False,1.0,5.012160600785111,0.6898239991581059,0.7134648714285896,1.0752485021976566,2.07823012589833,-0.5449775794159889,1.265784181245287,0.35714285714285715,16.577552332030336,1.2595911908903414,1.3461538461538463,6.012160600785111
strict__sector_lead_top1_biweekly__stop10__reentry1,strict,90.0,25000000.0,2023-02-27,sector_lead_top1_biweekly,10.0,True,0.5488782051282052,4.989742057448813,0.6879786850252587,0.6503476371501962,1.111913743645576,2.211210455062556,-0.534831422378853,1.2863467930983352,0.38095238095238093,33.96528730895146,1.0462465398388603,0.27163461538461536,5.989742057448813
medium__sector_lead_top1_biweekly__stop10__reentry0,medium,60.0,10000000.0,2023-01-30,sector_lead_top1_biweekly,10.0,False,0.5488782051282052,4.901205109920993,0.6806429110399401,0.5158932390294608,1.2485241003594483,2.5963513066830206,-0.4656461702246347,1.4617169743103176,0.2619047619047619,13.468920705808724,1.046650874274551,0.16666666666666666,5.901205109920993
medium__momentum_lead_top1_biweekly_w0__stop21__reentry1,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_biweekly_w0,21.0,True,0.5488782051282052,4.887291224035475,0.6794830017152984,0.7345124075882454,1.0436055661412125,2.16524879636774,-0.7116175143705825,0.9548429992146741,0.23809523809523808,25.772577137965246,1.1908247415098347,0.29967948717948717,5.887291224035475
medium__momentum_lead_top1_biweekly_w0__stop16__reentry1,medium,60.0,10000000.0,2023-01-30,momentum_lead_top1_biweekly_w0,16.0,True,0.5608974358974359,4.866720714430567,0.6777646147010636,0.7464688630553573,1.035069070169553,2.1906698127520947,-0.5589439663578621,1.2125806082449542,0.23809523809523808,34.555339537116765,1.1146307506415538,0.2956730769230769,5.866720714430567
