strategy,total_return,final_equity,cagr,vol,sharpe,maxdd,calmar,exposure,avg_gross,best_year,worst_year,beats_btc
BO_h2_lb30_ma20_x1.25,18.96662647012713,1996662.6470127131,0.6877348601023188,0.9847231148302352,1.0052347439105007,-0.8192347624045981,0.8394844697308693,0.48659003831417624,0.6089677590213068,10.600949742095862,-0.49014681747618194,True
BO_h2_lb45_ma50_x1,18.79120324497788,1979120.324497788,0.6851333297704301,0.8273749872389443,1.0285272636341836,-0.7314683325459579,0.9366548068947105,0.5201149425287356,0.5209934890098068,8.64294984297914,-0.5430431465139389,True
BO_h2_lb30_ma20_x1.5,18.527652054443077,1952765.2054443078,0.681188861449731,1.1891431112994582,1.0075514060567006,-0.8843388214081737,0.7702804004069871,0.48659003831417624,0.7314637249670211,14.09377046709283,-0.579218204168672,True
BO_h3_lb45_ma50_x1.25,18.282904874574864,1928290.4874574863,0.6774862872239702,1.0989702557601964,0.992938375475236,-0.8667636734329408,0.7816274585443681,0.5201149425287356,0.6514452161217456,10.10353363508147,-0.6564405749693498,True
BO_h2_lb45_ma100_x1.25,18.249671843622263,1924967.1843622264,0.6769805465568532,1.0253161040373815,0.9973253737665672,-0.7668849549605112,0.8827667594440063,0.5234674329501916,0.6553621289664522,13.750296583093798,-0.47830134983297434,True
BO_h3_lb30_ma20_x1.25,17.337735990417624,1833773.5990417623,0.6628132635360049,1.051340007846656,0.9841603125682966,-0.8167143979575503,0.811560644937296,0.48659003831417624,0.6090213705348653,9.092248598033784,-0.4525474040997052,True
BO_h3_lb45_ma50_x1,17.101579378872213,1810157.9378872213,0.6590498677069903,0.8809427364621435,0.9943766672759642,-0.7859275331913186,0.8385631497485119,0.5201149425287356,0.5209896415482486,7.436504696580039,-0.5507415380611941,True
BO_h2_lb14_ma20_x1.25,17.04214971443411,1804214.971443411,0.6580964182110423,1.0055414856670095,0.9839654562542801,-0.7711409474347916,0.8534061385278617,0.48659003831417624,0.6091298715966909,8.443321324238145,-0.38899404696886763,True
BO_h2_lb45_ma100_x1.5,16.551253603283108,1755125.3603283109,0.6501200890596703,1.2385588706037498,0.9990629886024168,-0.8432931731792523,0.7709300984955079,0.5234674329501916,0.7876856374029653,18.671644450354563,-0.5579502196273323,True
BO_h3_lb14_ma100_x1.25,16.242640281722164,1724264.0281722164,0.6450108323930994,1.0701827271680597,0.9787080718372492,-0.7449247597959867,0.8658737998851712,0.5234674329501916,0.6555289199955951,4.722437338938335,-0.4968416603336139,True
