date,2bps,20bps,50bps,100bps
2024-09-22,0.03355828550746787,0.03355828550746787,0.03355828550746787,0.03355828550746787
2024-09-23,-0.016932949348104298,-0.016932949348104298,-0.016932949348104298,-0.016932949348104298
2024-09-24,0.06869201924042745,0.06869201924042745,0.06869201924042745,0.06869201924042745
2024-09-25,-0.013835801779454093,-0.013835801779454093,-0.013835801779454093,-0.013835801779454093
2024-09-26,-0.015733024843102572,-0.01581084281579792,-0.015940539436956835,-0.016156700472221508
2024-09-27,0.00401556287401017,0.003987916263652025,0.003941838579722079,0.0038650424398387617
2024-09-28,0.00922148946016188,0.009149948576439915,0.009030713770236343,0.008831989093230463
2024-09-29,0.022990419090385572,0.022990419090385572,0.022990419090385572,0.022990419090385572
2024-09-30,0.00572624986731296,0.00572624986731296,0.00572624986731296,0.00572624986731296
2024-10-01,-0.005584618014369047,-0.005642303193476583,-0.005738445158655625,-0.0058986817672875835
2024-10-02,0.025245294677855634,0.02515791022997882,0.025012269483517757,0.024769534906082802
2024-10-03,-0.004371005424844032,-0.005199871945156365,-0.006581316145676919,-0.008883723146544509
2024-10-04,0.0023492984791526617,0.0023492984791526617,0.0023492984791526617,0.0023492984791526617
2024-10-05,-0.00032695451601771897,-0.00032695451601771897,-0.00032695451601771897,-0.00032695451601771897
2024-10-06,0.050234416105751745,0.04936240116719115,0.04790904293625675,0.0454867792180329
2024-10-07,-0.0008978904663979881,-0.0009400368011200921,-0.001010280692323784,-0.0011273538443297149
2024-10-08,-0.005006201986363812,-0.005087366323910603,-0.0052226402198218835,-0.005448096713007056
2024-10-09,-0.03232609710822043,-0.03234324023553281,-0.03237181211438678,-0.03241943191247654
2024-10-10,-0.008300810752724708,-0.008328625423566716,-0.008374983208303433,-0.008452246182864664
2024-10-11,-0.00010872620037816194,-0.0010872620037816194,-0.0027181550094540485,-0.005436310018908097
2024-10-12,0.0,0.0,0.0,0.0
2024-10-13,0.025760410885057317,0.024673398209519304,0.022861710416955283,0.019842230762682433
2024-10-14,-0.02555509475308171,-0.025633850668231428,-0.025765110526814183,-0.0259838769577857
2024-10-15,-0.05456340674249316,-0.05456340674249316,-0.05456340674249316,-0.05456340674249316
2024-10-16,0.004927619219328827,0.004736923362638645,0.004419096934821898,0.003889386221793689
2024-10-17,-0.0189599930935459,-0.019177781126851645,-0.019540761182361144,-0.02014572794154368
2024-10-18,0.03105777945663868,0.03105777945663868,0.03105777945663868,0.03105777945663868
2024-10-19,-0.0222986530012389,-0.022340860788087724,-0.022411207099502395,-0.0225284509518604
2024-10-20,0.02190284790847974,0.021838578787512164,0.021731463585899613,0.021552938249878695
2024-10-21,-0.029412285554087925,-0.029461721296377252,-0.029544114200192984,-0.02968143570655235
2024-10-22,-0.01999542530664966,-0.020212643275090425,-0.020574673222491957,-0.021178056468161177
2024-10-23,0.0001169065041384254,-0.00010914584695664864,-0.0004858997654487718,-0.0011138229629353846
2024-10-24,0.00509722075808261,0.004694924762240094,0.004024431435835751,0.002906942558495329
2024-10-25,-0.07761836905663677,-0.07789891081205935,-0.0783664804044304,-0.07914576305838206
2024-10-26,0.03390602820222588,0.03362665821963451,0.033161041581982076,0.032385013852561206
2024-10-27,0.01586396204825946,0.015823004674586194,0.01575474238513097,0.015640971902705525
2024-10-28,0.0640596600296297,0.06403473788581104,0.06399320097944639,0.06392397280217232
2024-10-29,0.10669691056895614,0.10664643383307282,0.1065623059399341,0.10642209278470305
2024-10-30,-0.02080877285772209,-0.02089642005407133,-0.021042498714653246,-0.021285963148956588
2024-10-31,-0.04049907555266807,-0.04049907555266807,-0.04049907555266807,-0.04049907555266807
2024-11-01,-0.0036349269964290887,-0.0036458854058232237,-0.0036641494214801895,-0.0036945894475749474
2024-11-02,-0.014140586204077099,-0.014143148461778887,-0.014147418891281904,-0.014154536273786822
2024-11-03,-0.017372719982350238,-0.01742367078791429,-0.017508588797187752,-0.017650118812643667
2024-11-04,0.0031011091534327573,0.0031011091534327573,0.0031011091534327573,0.0031011091534327573
2024-11-05,0.06886734465775524,0.06886734465775524,0.06886734465775524,0.06886734465775524
2024-11-06,0.13297431035500118,0.13296030712355766,0.13293696840448543,0.13289807053936475
2024-11-07,-0.006954111478588154,-0.007096972032150983,-0.0073350729547558835,-0.0077319078257638285
2024-11-08,0.01896933689719149,0.018932486848006302,0.018871070099364395,0.018768708851627736
2024-11-09,0.10556763886029774,0.10556763886029774,0.10556763886029774,0.10556763886029774
2024-11-10,0.1644534289164694,0.16439263746751864,0.16429131838593403,0.16412245324995967
