coin_id,price,market_cap,volume_usd,history_days,symbol,name,sector,rebalance_date,universe_rank
dogecoin,0.2633,40531510910.76709,86450045.36,197,DOGE,Dogecoin,Meme,2021-11-04,8
avalanche-2,79.53,34287562556.668034,86261550.24,197,AVAX,Avalanche,Smart Contract Platform / L1,2021-11-04,9
shiba-inu,4.938e-05,29067521024.51955,92111962.94,197,SHIB,Shiba Inu,Meme,2021-11-04,10
internet-computer,46.07,25427074414.74907,32888199.59,197,ICP,Internet Computer,Smart Contract Platform / L1,2021-11-04,11
axie-infinity,145.08,24634891629.463623,104145812.59,197,AXS,Axie Infinity,Other,2021-11-04,12
chainlink,31.02,22545316574.0452,97442229.77,197,LINK,Chainlink,Oracle / Middleware,2021-11-04,13
algorand,1.86,16583094267.732227,58694421.87,197,ALGO,Algorand,Smart Contract Platform / L1,2021-11-04,14
uniswap,25.76,16320447069.962778,35303442.47,197,UNI,Uniswap,DeFi,2021-11-04,15
litecoin,202.91,15634312351.642845,110598045.42,197,LTC,Litecoin,Payments,2021-11-04,16
vechain,0.1529,13147039291.30556,55435653.81,197,VET,VeChain,Payments,2021-11-04,17
stellar,0.3691,12241078578.283014,68533915.1,197,XLM,Stellar,Payments,2021-11-04,18
bitcoin-cash,596.3,11939819380.34329,25789144.94,197,BCH,Bitcoin Cash,Payments,2021-11-04,19
the-graph,1.054,11380997177.151281,54241844.52,197,GRT,The Graph,Oracle / Middleware,2021-11-04,20
bitcoin,56930.68,1139660299660.1882,3718546724.95,211,BTC,Bitcoin,Store of Value,2021-11-18,1
ethereum,3998.17,482605573997.52985,2191561063.22,211,ETH,Ethereum,Smart Contract Platform / L1,2021-11-18,2
solana,195.24,112337918550.55954,1136201350.17,211,SOL,Solana,Smart Contract Platform / L1,2021-11-18,3
binancecoin,532.02,71698812735.6528,133570263.78,211,BNB,BNB,Exchange / Trading Infrastructure,2021-11-18,4
cardano,1.788,66082084609.14974,96681138.79,211,ADA,Cardano,Smart Contract Platform / L1,2021-11-18,5
polkadot,39.05,65656429268.50476,187124278.81,211,DOT,Polkadot,Smart Contract Platform / L1,2021-11-18,6
ripple,1.042,64155928227.16646,148621605.24,211,XRP,XRP,Payments,2021-11-18,7
avalanche-2,100.68,43405907182.26251,190898837.64,211,AVAX,Avalanche,Smart Contract Platform / L1,2021-11-18,8
filecoin,51.75,40019424542.353004,53817696.57,211,FIL,Filecoin,Oracle / Middleware,2021-11-18,9
dogecoin,0.2216,34112354036.559013,168126941.41,211,DOGE,Dogecoin,Meme,2021-11-18,10
shiba-inu,4.257e-05,25058816727.69942,478332943.65,211,SHIB,Shiba Inu,Meme,2021-11-18,11
internet-computer,39.88,22010673489.47673,32334685.54,211,ICP,Internet Computer,Smart Contract Platform / L1,2021-11-18,12
crypto-com-chain,0.4989,21726151988.55822,366345047.26,211,CRO,Cronos,Smart Contract Platform / L1,2021-11-18,13
axie-infinity,123.79,21019804485.878838,34578580.65,211,AXS,Axie Infinity,Other,2021-11-18,14
chainlink,26.57,19311059360.811764,167546119.47,211,LINK,Chainlink,Oracle / Middleware,2021-11-18,15
algorand,1.852,16511769131.096819,533880280.74,211,ALGO,Algorand,Smart Contract Platform / L1,2021-11-18,16
litecoin,204.44,15752199581.932203,293662977.94,211,LTC,Litecoin,Payments,2021-11-18,17
uniswap,20.09,12728174752.932926,37929365.76,211,UNI,Uniswap,DeFi,2021-11-18,18
bitcoin-cash,554.87,11110259231.210938,43222838.36,211,BCH,Bitcoin Cash,Payments,2021-11-18,19
vechain,0.1291,11100606752.828957,41009803.11,211,VET,VeChain,Payments,2021-11-18,20
bitcoin,56975.35,1140554520940.9778,2383744473.31,223,BTC,Bitcoin,Store of Value,2021-11-30,1
