,btc_above_ma,tracked_total_mcap_above_ma,bull,tracked_total_market_cap,tracked_alt_market_cap
2020-12-15,True,True,True,3610717144775.235,3221520494400.0522
2020-12-16,True,True,True,3782990498232.6,3355555328405.3066
2020-12-17,True,True,True,3933938286037.0723,3477075288772.7544
2020-12-18,True,True,True,3602053652279.6406,3138916892996.083
2020-12-19,True,True,True,3708866802043.711,3231534004674.818
2020-12-20,True,True,True,3651999080729.3604,3182226426832.663
2020-12-21,True,True,True,3527292717161.0483,3072332267255.7236
2020-12-22,True,True,True,3490026742220.6904,3013122338301.7393
2020-12-23,True,False,False,3281100402427.989,2815883132338.242
2020-12-24,True,False,False,3062114460286.925,2587194278739.853
2020-12-25,True,False,False,3183331152803.6846,2688717283958.311
2020-12-26,True,True,True,3393862893460.709,2864462675744.6475
2020-12-27,True,True,True,3815336547019.903,3289868540769.8247
2020-12-28,True,True,True,3365073479119.0225,2823787345005.629
2020-12-29,True,True,True,3630484211457.2197,3082765569527.482
2020-12-30,True,True,True,3580827695916.2036,3002504345665.2324
2020-12-31,True,True,True,3837915870395.294,3257935198007.8423
2021-01-01,True,True,True,3764899417343.853,3176580286655.5264
2021-01-02,True,True,True,3707173588343.5854,3062508707956.616
2021-01-03,True,True,True,3972862799951.1445,3310985310966.143
2021-01-04,True,True,True,3326896010050.395,2685696112011.5757
2021-01-05,True,True,True,4247540965219.0894,3566149353853.8223
2021-01-06,True,True,True,4759535293349.049,4021860589831.789
2021-01-07,True,True,True,4746806885884.566,3956492836746.08
2021-01-08,True,True,True,4363198360584.3677,3549726442534.8496
2021-01-09,True,True,True,4510432983852.923,3704960012286.0083
2021-01-10,True,True,True,4613529146068.578,3848785181295.235
2021-01-11,True,True,True,3972810998810.7573,3262237786150.2544
2021-01-12,True,True,True,4247647974551.996,3565853793454.0967
2021-01-13,True,True,True,4661076306100.936,3912772040061.033
2021-01-14,True,True,True,4395775743987.304,3611944248628.9404
2021-01-15,True,True,True,4138712704313.6,3402232898227.51
2021-01-16,True,True,True,3931102901094.257,3209935358269.6113
2021-01-17,True,True,True,4069965032718.724,3352515905002.802
2021-01-18,True,True,True,4309804826026.2085,3576670692710.621
2021-01-19,True,True,True,4243255253328.2275,3523938810611.8115
2021-01-20,True,True,True,4203474109828.515,3492793798805.527
2021-01-21,True,True,True,3642171003261.9126,3024797988577.9126
2021-01-22,True,True,True,3767680293385.12,3106913024060.575
2021-01-23,True,True,True,4085991209881.531,3443255100938.5747
2021-01-24,True,True,True,3991819587228.2725,3345552835632.6895
2021-01-25,True,True,True,3704791700188.1265,3058692902846.983
2021-01-26,True,True,True,3464743909148.049,2813815676302.3057
2021-01-27,True,True,True,3235396966794.0044,2626376623464.5923
2021-01-28,True,True,True,4115026201609.7075,3445533918960.0645
2021-01-29,True,True,True,20625549323782.15,19939877981778.42
2021-01-30,True,True,True,28466044051695.805,27779056701028.566
2021-01-31,True,True,True,15659280648961.256,14995806893915.584
2021-02-01,True,True,True,14014678741385.357,13343343365981.69
2021-02-02,True,True,True,21862961048688.582,21151819313879.56
2021-02-03,True,True,True,20189951801372.113,19435712284211.97
2021-02-04,True,True,True,18732000922788.562,17991652563702.414
2021-02-05,True,True,True,19263993312413.234,18497084159062.99
2021-02-06,True,True,True,15436914612880.053,14650852468824.166
2021-02-07,True,True,True,14954760125033.479,14176669101904.334
2021-02-08,True,True,True,16844999902016.547,15915397926490.469
2021-02-09,True,True,True,16113566360394.66,15182519858170.086
2021-02-10,True,True,True,17657568488079.38,16759644806889.504
2021-02-11,True,True,True,17466260377012.682,16505254158848.049
2021-02-12,True,True,True,15713730703735.234,14764147777078.766
2021-02-13,True,True,True,17633599350670.99,16688284744173.238
2021-02-14,True,True,True,17926819591287.055,16952867683396.121
2021-02-15,True,True,True,17659761894875.28,16700150357629.219
2021-02-16,True,True,True,18308778083589.31,17324181199018.889
2021-02-17,True,True,True,20719511332593.88,19675454237906.97
2021-02-18,True,True,True,22476617839716.6,21443837101588.203
2021-02-19,True,True,True,21760069662624.613,20640371897180.145
2021-02-20,True,True,True,19861778022328.7,18742733456803.465
2021-02-21,True,True,True,21627130327848.746,20476674713433.883
2021-02-22,True,True,True,19451273519845.523,18367855074463.176
2021-02-23,True,True,True,16739811291488.994,15760938263887.82
2021-02-24,True,True,True,16408199498681.992,15412521636995.65
2021-02-25,True,True,True,16115726777786.766,15173203735148.566
2021-02-26,True,True,True,15474705459566.838,14547363759948.84
2021-02-27,True,True,True,14864646156538.773,13939969104216.184
2021-02-28,True,True,True,13798889837631.752,12892837090453.451
2021-03-01,True,True,True,15128525104181.4,14134911138041.273
2021-03-02,True,True,True,12946383159398.486,11975467239854.197
2021-03-03,True,True,True,12816261277094.059,11807483784296.836
2021-03-04,True,True,True,11904484265667.562,10936320273579.51
2021-03-05,True,True,True,15477146767589.592,14500742607473.525
2021-03-06,True,True,True,16553697989791.592,15574943070664.934
2021-03-07,True,True,True,15115851608245.143,14095631005738.098
2021-03-08,True,True,True,17969366680774.207,16920302787687.068
2021-03-09,True,True,True,23684940266410.332,22585356374176.047
2021-03-10,True,True,True,18195753787308.71,17076859960226.375
2021-03-11,True,True,True,22933132716087.676,21775881660527.15
2021-03-12,True,True,True,22460590525170.137,21314413440290.6
2021-03-13,True,True,True,24514806680108.91,23290086058388.82
2021-03-14,True,True,True,23399496717952.117,22218434193193.613
2021-03-15,True,True,True,21631421919293.12,20517098289623.016
2021-03-16,True,True,True,22129565217070.402,20990018421656.062
2021-03-17,True,True,True,24896632714488.215,23717369642403.32
2021-03-18,True,True,True,24351209812371.797,23197283610460.84
2021-03-19,True,True,True,23320558920487.74,22158287253840.977
2021-03-20,True,True,True,25531168059848.754,24368073037005.914
2021-03-21,True,True,True,24490296831435.64,23341742963644.348
2021-03-22,True,True,True,24006028742647.59,22923126971795.29
2021-03-23,True,True,True,23205868600447.06,22117760247707.125
2021-03-24,True,True,True,25617513801099.418,24570491783334.43
2021-03-25,True,True,True,23219706118749.387,22192040478486.836
2021-03-26,True,True,True,23769831034454.98,22667710212224.848
2021-03-27,True,True,True,23407498643070.902,22289196959831.992
2021-03-28,True,True,True,24783580198471.074,23666934436081.656
2021-03-29,True,True,True,25609340279709.043,24455758794396.59
2021-03-30,True,True,True,25889320855276.74,24712609326609.113
2021-03-31,True,True,True,23964850935630.473,22787893981556.48
2021-04-01,True,True,True,24442676722692.863,23266980526538.37
2021-04-02,True,True,True,23332410228276.48,22151569707413.297
2021-04-03,True,True,True,22333387102130.25,21190838349624.637
2021-04-04,True,True,True,23293611059746.285,22128152065758.414
2021-04-05,True,True,True,22435852339385.258,21252374196047.105
2021-04-06,True,True,True,24235981822485.867,23074708272540.7
2021-04-07,True,True,True,22165383976458.344,21045315670698.06
2021-04-08,True,True,True,23267057339900.688,22104300227405.277
