cycle_days,target_volatility,vol_window,stop_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.6,30,none,7,20.0,1.0921552626743378,0.018838745152411907,0.3322024541525428,-0.6937140762074474,31.306049533943902,0.7133790512334294,0.9953623188405797
14,0.6,30,own75,7,2.0,2.1533577235642225,0.17632232093840172,0.5644540982877123,-0.6158878281124188,28.36189686855281,0.6154761562408269,0.8655072463768116
14,0.6,30,own75,7,20.0,1.6911118218920071,0.11765546480019218,0.4766231747321936,-0.6503626895924762,28.36189686855281,0.6154761562408269,0.8655072463768116
14,0.8,30,none,7,2.0,0.8978669784352418,-0.022550817276173918,0.3374673987512111,-0.7797612182032755,36.70924017408991,0.8373303333546059,0.9953623188405797
14,0.8,30,none,7,20.0,0.6566519576204594,-0.08519869145892867,0.24887909190011873,-0.8041417727041931,36.70924017408991,0.8373303333546059,0.9953623188405797
14,0.8,30,own75,7,2.0,1.5406757893952616,0.09582613168046072,0.4779004423499262,-0.7419682104491754,33.33915258178423,0.7250675717280731,0.8655072463768116
14,0.8,30,own75,7,20.0,1.1596406735002003,0.03185426028572058,0.39377077384439224,-0.7689995903201479,33.33915258178423,0.7250675717280731,0.8655072463768116
14,0.3,30,none,8,2.0,2.4262957189393104,0.2064216102569132,0.729484724617251,-0.39256805333261124,19.19105475927653,0.43495849769080963,0.9947826086956522
14,0.3,30,none,8,20.0,2.0604769120079505,0.16539269368750853,0.6248853459130234,-0.41123384570081634,19.19105475927653,0.43495849769080963,0.9947826086956522
14,0.3,30,own75,8,2.0,2.2368075544027715,0.18582963838072564,0.697677596093873,-0.34746293099491277,16.602529383183178,0.3551887607871744,0.8521739130434782
14,0.3,30,own75,8,20.0,1.9419284597271158,0.1508636046000107,0.6020413542711927,-0.36235897118186167,16.602529383183178,0.3551887607871744,0.8521739130434782
14,0.4,30,none,8,2.0,2.5079099571142685,0.21490159135228715,0.6658636614913528,-0.468295104168015,24.07580265999533,0.5400751079457808,0.9947826086956522
14,0.4,30,none,8,20.0,2.0429138688265023,0.16328249211538726,0.5641092555494834,-0.48806809644334603,24.07580265999533,0.5400751079457808,0.9947826086956522
14,0.4,30,own75,8,2.0,2.3706048563318514,0.2005051718321451,0.6505441740679098,-0.41390477300910766,20.952023118447208,0.4441471209613466,0.8521739130434782
14,0.4,30,own75,8,20.0,1.983188317966768,0.15599774243994569,0.5569455650879213,-0.43024222458216566,20.952023118447208,0.4441471209613466,0.8521739130434782
14,0.5,30,none,8,2.0,2.3512333747367054,0.1984215128632576,0.6037463496840241,-0.5315253337168417,28.29305965782304,0.6303959281625754,0.9947826086956522
14,0.5,30,none,8,20.0,1.847624204396487,0.13879781172753036,0.5050346295300455,-0.5516857029392203,28.29305965782304,0.6303959281625754,0.9947826086956522
14,0.5,30,own75,8,2.0,2.3518901458033707,0.19849237849534984,0.6089690752449874,-0.4696977830972916,24.839451605435915,0.5237809846442544,0.8521739130434782
14,0.5,30,own75,8,20.0,1.9033872046497906,0.1459894806666837,0.5177590657666067,-0.499836560050788,24.839451605435915,0.5237809846442544,0.8521739130434782
14,0.6,30,none,8,2.0,2.093954584941012,0.16937607716761027,0.5541063915652157,-0.6027578529243778,31.79027937247517,0.7069078141814822,0.9947826086956522
14,0.6,30,none,8,20.0,1.5970847008827407,0.10420057950465544,0.45847449395218864,-0.6436182945253102,31.79027937247517,0.7069078141814822,0.9947826086956522
