date,coin_id,symbol,name,price,volume_usd,market_cap,price_source,volume_source,market_cap_source,current_market_cap,current_rank
2022-05-25,stellar,XLM,Stellar,0.1321,9793955.56,4381052506.613889,cryptocompare,cryptocompare,proxy_anchor,5872983271.0,20.0
2022-05-25,internet-computer,ICP,Internet Computer,7.75,6199818.44,4277400189.153577,cryptocompare,cryptocompare,proxy_anchor,1361733923.0,56.0
2022-05-25,hedera-hashgraph,HBAR,Hedera,0.0974,834961.21,4218666393.3896623,cryptocompare,cryptocompare,proxy_anchor,3900574966.0,28.0
2022-05-25,bitcoin-cash,BCH,Bitcoin Cash,190.09,9160937.55,3806205376.504203,cryptocompare,cryptocompare,proxy_anchor,8931526249.0,16.0
2022-05-25,monero,XMR,Monero,203.96,18996877.38,3761382001.611994,cryptocompare,cryptocompare,proxy_anchor,6838727045.0,18.0
2022-05-25,ethereum-classic,ETC,Ethereum Classic,23.76,15365175.18,3718313570.880874,cryptocompare,cryptocompare,proxy_anchor,1326777625.0,59.0
2022-05-25,algorand,ALGO,Algorand,0.4052,20084179.8,3612618170.583386,cryptocompare,cryptocompare,proxy_anchor,926994774.0,74.0
2022-05-25,uniswap,UNI,Uniswap,5.619,7641089.92,3559960872.9084177,cryptocompare,cryptocompare,proxy_anchor,2058061102.0,44.0
2022-05-25,axie-infinity,AXS,Axie Infinity,20.86,4633719.33,3542072231.8073554,cryptocompare,cryptocompare,proxy_anchor,187570793.0,186.0
2022-05-25,vechain,VET,VeChain,0.0313,3393316.25,2691316741.778051,cryptocompare,cryptocompare,proxy_anchor,614386926.0,89.0
2022-05-25,tezos,XTZ,Tezos,2.13,11968057.1,2305228213.1416736,cryptocompare,cryptocompare,proxy_anchor,397157142.0,118.0
2022-05-25,decentraland,MANA,Decentraland,1.054,16411233.96,2037620031.267989,cryptocompare,cryptocompare,proxy_anchor,176437837.0,191.0
2022-05-25,the-graph,GRT,The Graph,0.1511,7276280.93,1631564206.325957,cryptocompare,cryptocompare,proxy_anchor,268195477.0,149.0
2022-05-25,zcash,ZEC,Zcash,95.54,4354212.38,1590500520.6726925,cryptocompare,cryptocompare,proxy_anchor,5349411156.0,22.0
2022-05-25,aave,AAVE,Aave,101.84,11312923.2,1545397090.6723158,cryptocompare,cryptocompare,proxy_anchor,1402388194.0,55.0
2022-05-25,theta-token,THETA,Theta Network,1.231,244745.82,1230900094.4344199,cryptocompare,cryptocompare,proxy_anchor,220108300.0,166.0
2022-05-25,neo,NEO,NEO,11.65,6073737.41,821356324.0639288,cryptocompare,cryptocompare,proxy_anchor,200841493.0,175.0
2022-05-25,immutable-x,IMX,Immutable,0.9343,25816741.55,786559629.0287263,cryptocompare,cryptocompare,proxy_anchor,147508128.0,218.0
2022-05-25,okb,OKB,OKB,12.64,163833.28,265424194.46556586,cryptocompare,cryptocompare,proxy_anchor,1755418075.0,48.0
2022-05-25,injective-protocol,INJ,Injective,2.196,291126.16,219600610.19152367,cryptocompare,cryptocompare,proxy_anchor,327154015.0,133.0
2022-05-25,whitebit,WBT,WhiteBIT Coin,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,11678412208.0,11.0
2022-05-25,sui,SUI,Sui,0.0,0.0,0.0,cryptocompare,cryptocompare,proxy_anchor,3736312381.0,29.0
