family,variant_id,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_holdings
gate,gate_ma20,0,2.0,6.789554499038745,0.5000816133327233,0.9318715049572533,-0.6220851109795724,17.139130434782608,0.2788405797101449
gate,gate_ma20,0,20.0,5.867243729802736,0.45442228556721087,0.8834161257386212,-0.6406828077874447,17.139130434782608,0.2788405797101449
gate,gate_ma50,0,2.0,33.324793721369446,1.1008529991224938,1.3211219579018156,-0.5740133703662946,16.292753623188407,0.35246376811594204
gate,gate_ma50,0,20.0,29.005151900196896,1.0400027763943789,1.282594249861447,-0.5823757208722149,16.292753623188407,0.35246376811594204
gate,gate_ma65,0,2.0,14.444793998542043,0.7600724123636642,1.085360712343804,-0.6534597278434615,15.023188405797102,0.35594202898550725
gate,gate_ma65,0,20.0,12.709042938617474,0.7130079971298842,1.0500718467780168,-0.6584209264111811,15.023188405797102,0.35594202898550725
gate,gate_ma100,0,2.0,15.892088596500162,0.7960166470559826,1.1127871046163584,-0.6644623671766026,15.023188405797102,0.3791304347826087
gate,gate_ma100,0,20.0,13.982368549216513,0.7479896099250551,1.0773965178945608,-0.6680719437332752,15.023188405797102,0.3791304347826087
gate,gate_ma200,0,2.0,13.140448987696885,0.72515740482586,1.044492873698178,-0.6049225784926142,16.292753623188407,0.4127536231884058
gate,gate_ma200,0,20.0,11.436878788663023,0.6751805679741567,1.0080743629831803,-0.6105802011746497,16.292753623188407,0.4127536231884058
stop_grid,stop_ma20_c1,0,2.0,9.483298725755201,0.6100481294994771,1.0753591799053455,-0.4035422460371053,17.139130434782608,0.216231884057971
stop_grid,stop_ma20_c1,0,20.0,8.195258229561553,0.5610495368614523,1.0232495987272465,-0.4141940513119523,17.139130434782608,0.216231884057971
stop_grid,stop_ma20_c2,0,2.0,15.062329032930176,0.7757413768906276,1.204299611182482,-0.48552717619429064,17.139130434782608,0.24579710144927536
stop_grid,stop_ma20_c2,0,20.0,13.016430035038562,0.7216973432344813,1.1549826183428757,-0.4928905429316066,17.139130434782608,0.24579710144927536
stop_grid,stop_ma20_c3,0,2.0,22.990722501147882,0.9420649517319832,1.3246997770858724,-0.44908515940337157,17.56231884057971,0.2620289855072464
stop_grid,stop_ma20_c3,0,20.0,19.79644443039924,0.8815227331660092,1.2756461938452779,-0.4569701006959658,17.56231884057971,0.2620289855072464
stop_grid,stop_ma50_c1,0,2.0,25.25012355844876,0.980992973878027,1.3515548750293969,-0.42456827622381255,17.139130434782608,0.27246376811594203
stop_grid,stop_ma50_c1,0,20.0,21.82034127442034,0.920700566757048,1.3039062252353106,-0.4328041141891824,17.139130434782608,0.27246376811594203
stop_grid,stop_ma50_c2,0,2.0,24.836978801067726,0.9740858619382875,1.3460538994144684,-0.42591104395976254,17.139130434782608,0.27652173913043476
stop_grid,stop_ma50_c2,0,20.0,21.463229579620172,0.9140020646601221,1.298416537670489,-0.43987187292967755,17.139130434782608,0.27652173913043476
stop_grid,stop_ma50_c3,0,2.0,21.563500833439722,0.9158917138387928,1.2977627659038657,-0.4921970117624008,17.56231884057971,0.28695652173913044
stop_grid,stop_ma50_c3,0,20.0,18.567370006620525,0.8561622986229982,1.2491453686055833,-0.5154454203711656,17.56231884057971,0.28695652173913044
stop_grid,stop_ma65_c1,0,2.0,25.18409144709171,0.9798950346009503,1.356784203507314,-0.4190112392699046,16.71594202898551,0.2591304347826087
stop_grid,stop_ma65_c1,0,20.0,21.841854064418705,0.9211013243615918,1.309912353687243,-0.44360644540912075,16.71594202898551,0.2591304347826087
stop_grid,stop_ma65_c2,0,2.0,25.487982146086946,0.984929266929629,1.360575010307595,-0.41786949487206704,17.139130434782608,0.2614492753623188
stop_grid,stop_ma65_c2,0,20.0,22.025890983723873,0.9245170569691938,1.3125203234237222,-0.439220281012186,17.139130434782608,0.2614492753623188
stop_grid,stop_ma65_c3,0,2.0,25.409145116255495,0.9836278227353865,1.3587079427183868,-0.4259110439597624,17.139130434782608,0.2684057971014493
stop_grid,stop_ma65_c3,0,20.0,21.95767526397502,0.9232536038250001,1.310711706614571,-0.43987187292967755,17.139130434782608,0.2684057971014493
stop_grid,stop_ma75_c1,0,2.0,25.18409144709171,0.9798950346009503,1.356784203507314,-0.4190112392699046,16.71594202898551,0.2591304347826087
stop_grid,stop_ma75_c1,0,20.0,21.841854064418705,0.9211013243615918,1.309912353687243,-0.44360644540912075,16.71594202898551,0.2591304347826087
stop_grid,stop_ma75_c2,0,2.0,25.600415762360626,0.9867798458106072,1.3620027438372093,-0.41786949487206715,16.71594202898551,0.26318840579710145
stop_grid,stop_ma75_c2,0,20.0,22.202838764473967,0.9277800657772826,1.3151406398241978,-0.43987187292967755,16.71594202898551,0.26318840579710145
