family,variant_id,cost_bps,phase_median_multiple,phase_min_multiple,phase_max_multiple,phase_median_sharpe,phase_worst_drawdown,phase_median_turnover,phase_median_holdings
stop_grid,stop_ma50_c3,2.0,4.158316270873207,0.6936715368031402,21.563500833439722,0.8044526137629696,-0.7438747906729687,17.35072463768116,0.26492753623188403
stop_grid,stop_ma50_c3,20.0,3.54841132989508,0.6005225451138272,18.567370006620525,0.7563257935826658,-0.7599653903849437,17.35072463768116,0.26492753623188403
stop_grid,stop_ma65_c1,2.0,4.2781438599214505,0.7044011447106054,25.18409144709171,0.8052127574368744,-0.7507857466467139,16.92753623188406,0.25217391304347825
stop_grid,stop_ma65_c1,20.0,3.6638442734820256,0.6098137629452132,21.841854064418705,0.755171492699021,-0.7644164834719793,16.92753623188406,0.25217391304347825
stop_grid,stop_ma65_c2,2.0,4.601658605223458,0.7067413803305315,25.487982146086946,0.8136003056062597,-0.7552571974677996,16.92753623188406,0.25507246376811593
stop_grid,stop_ma65_c2,20.0,3.940889798554987,0.6118397504102846,22.025890983723873,0.7604325058819226,-0.7706318062320194,16.92753623188406,0.25507246376811593
stop_grid,stop_ma65_c3,2.0,4.596271492421494,0.7069329254498795,25.409145116255495,0.8412163903787044,-0.7507290038487217,16.92753623188406,0.25623188405797104
stop_grid,stop_ma65_c3,20.0,3.936276240769361,0.612005574743309,21.95767526397502,0.7942973900821272,-0.7663890001037335,16.92753623188406,0.25623188405797104
stop_grid,stop_ma75_c1,2.0,4.6309664303144915,0.7044011447106054,25.18409144709171,0.8123009051186703,-0.7507857466467139,16.71594202898551,0.25217391304347825
stop_grid,stop_ma75_c1,20.0,3.96598920701349,0.6098137629452132,21.841854064418705,0.7628982686508485,-0.7604731816519599,16.71594202898551,0.25217391304347825
stop_grid,stop_ma75_c2,2.0,4.601658605223458,0.7067413803305315,25.600415762360626,0.8136003056062597,-0.7560300134181711,16.71594202898551,0.25507246376811593
stop_grid,stop_ma75_c2,20.0,3.940889798554987,0.6118397504102846,22.202838764473967,0.7604325058819226,-0.7713560743078025,16.71594202898551,0.25507246376811593
stop_grid,stop_ma75_c3,2.0,4.596271492421494,0.7069329254498795,25.868495072589642,0.8271754925149707,-0.7470626738454493,16.92753623188406,0.25623188405797104
stop_grid,stop_ma75_c3,20.0,3.936276240769361,0.612005574743309,22.435339742440824,0.7797635876900323,-0.7629530006042398,16.92753623188406,0.25623188405797104
trailing_confirm,trailing_lb11_c1,2.0,2.1986094796788977,0.4268893551610301,8.8971816709382,0.5714669679381916,-0.7703168254850078,17.35072463768116,0.18956521739130436
trailing_confirm,trailing_lb11_c1,20.0,1.869432179819436,0.3642857019895715,7.565029449393852,0.5032256100879675,-0.7878253738736485,17.35072463768116,0.18956521739130436
trailing_confirm,trailing_lb11_c2,2.0,4.596271492421494,0.7069329254498795,25.868495072589642,0.8271754925149707,-0.7470626738454493,16.92753623188406,0.25623188405797104
trailing_confirm,trailing_lb11_c2,20.0,3.936276240769361,0.612005574743309,22.435339742440824,0.7797635876900323,-0.7629530006042398,16.92753623188406,0.25623188405797104
trailing_confirm,trailing_lb11_c3,2.0,4.391346102619587,1.0555163997606136,23.625063443961228,0.7647893491938058,-0.6722265314618507,17.35072463768116,0.2915942028985507
trailing_confirm,trailing_lb11_c3,20.0,3.8153843277372457,0.9065604039008733,20.305542985333332,0.7214422802446986,-0.6803920885766531,17.35072463768116,0.2915942028985507
trailing_confirm,trailing_lb11_c5,2.0,1.5184787282821819,0.20993590229864545,21.753458721044826,0.43678302243474115,-0.8576920670046057,16.92753623188406,0.3072463768115942
trailing_confirm,trailing_lb11_c5,20.0,1.3145556438044042,0.17849918876124943,18.968323340679305,0.39009898427393236,-0.8685426902409574,16.92753623188406,0.3072463768115942
trailing_grid,trailing_lb100_c2,2.0,2.3924709179444443,0.15347697291243054,9.597381891574749,0.5859913179323003,-0.9246744669651474,15.023188405797102,0.3710144927536232
trailing_grid,trailing_lb100_c2,20.0,2.104972541201958,0.13503288263076546,8.413673112643629,0.548331295041936,-0.9327874926936194,15.023188405797102,0.3710144927536232
trailing_grid,trailing_lb10_c2,2.0,2.858189642402691,0.5684702378478681,9.4596416030796,0.6686250803388284,-0.743781362352196,17.35072463768116,0.24521739130434783
trailing_grid,trailing_lb10_c2,20.0,2.4477913164562404,0.48948829134575245,8.043177756065235,0.6086677596430118,-0.7705987278210921,17.35072463768116,0.24521739130434783
trailing_grid,trailing_lb11_c2,2.0,4.596271492421494,0.7069329254498795,25.868495072589642,0.8271754925149707,-0.7470626738454493,16.92753623188406,0.25623188405797104
trailing_grid,trailing_lb11_c2,20.0,3.936276240769361,0.612005574743309,22.435339742440824,0.7797635876900323,-0.7629530006042398,16.92753623188406,0.25623188405797104
trailing_grid,trailing_lb14_c2,2.0,1.6824652958590074,0.2815741284771633,9.016086431513273,0.46542807551980825,-0.8538548464061896,17.35072463768116,0.28289855072463765
trailing_grid,trailing_lb14_c2,20.0,1.4222467564813162,0.2411409219229062,7.735360397074778,0.40591099247575235,-0.8716426953040516,17.35072463768116,0.28289855072463765
trailing_grid,trailing_lb200_c2,2.0,1.4816888735977705,0.19048033427124522,4.931174150399989,0.4407326161615842,-0.9208802194638576,17.985507246376812,0.4776811594202899
trailing_grid,trailing_lb200_c2,20.0,1.271135587289879,0.16165383130894562,4.2304030329371916,0.3919534824271948,-0.9274407021607156,17.985507246376812,0.4776811594202899
trailing_grid,trailing_lb20_c2,2.0,2.2268145496203866,0.3379307362879301,14.066630524421505,0.5649026091394973,-0.8475313029878064,16.92753623188406,0.30492753623188407
