candidate,train_percentile,test_percentile,train_sharpe,test_sharpe
parameter_ensemble_20bps,0.25,0.5,0.03500803383973736,0.09342153771579069
primary,0.53125,0.78125,0.060927957058021745,0.08229758839845837
parameter_ensemble_20bps,0.21875,0.53125,0.05773585001293302,0.07425766459737518
primary,0.90625,0.71875,0.045855537977390566,0.09593080775445496
parameter_ensemble_20bps,0.375,0.46875,0.04114087498855025,0.08974014624787859
primary,0.875,0.71875,0.034890127137018126,0.10067203218037588
parameter_ensemble_20bps,0.4375,0.46875,0.03117508879309814,0.09359248284301663
primary,0.78125,0.625,0.05992838834400995,0.08209196035547724
parameter_ensemble_20bps,0.4375,0.375,0.0556668299193611,0.07524853631901224
primary,0.625,0.78125,0.026202610071304165,0.11067304876430538
parameter_ensemble_20bps,0.25,0.5,0.020233297211526332,0.10551173490019916
primary,0.8125,0.78125,0.05082471077173944,0.0922578154035481
parameter_ensemble_20bps,0.25,0.46875,0.04438386382877927,0.08734455832381702
primary,0.84375,0.75,0.04068362224519883,0.0972222184378711
parameter_ensemble_20bps,0.375,0.5,0.03496770850138771,0.09134113881410355
primary,0.53125,0.875,0.054490342412341936,0.08587636250837481
parameter_ensemble_20bps,0.21875,0.53125,0.04932475780991745,0.079932854798857
primary,0.5,0.875,0.04488537329311609,0.09545032149341719
parameter_ensemble_20bps,0.21875,0.53125,0.03758756172610479,0.09149723671203361
primary,0.46875,0.875,0.03353083035214659,0.10033722728267179
parameter_ensemble_20bps,0.1875,0.5,0.026839961341663342,0.09533137790538317
primary,0.5,0.84375,0.05950721584900327,0.08206867557364263
parameter_ensemble_20bps,0.1875,0.5625,0.0526313841856315,0.07746544749147213
primary,0.75,0.8125,0.04290137529360857,0.09486084401405441
parameter_ensemble_20bps,0.3125,0.53125,0.03398628791397726,0.09173946450710554
primary,0.8125,0.8125,0.03064488704837624,0.09994325910449489
parameter_ensemble_20bps,0.375,0.53125,0.021931858867930466,0.0957633992095578
primary,0.84375,0.78125,0.058798496692401295,0.08225001482934663
parameter_ensemble_20bps,0.375,0.53125,0.05041463885224386,0.07857501100387898
primary,0.65625,0.78125,0.020753729483114353,0.10889981754052155
parameter_ensemble_20bps,0.1875,0.53125,0.009788618260538449,0.10654982351690132
primary,0.75,0.8125,0.04835484819358092,0.0912702438127988
parameter_ensemble_20bps,0.1875,0.59375,0.03768229237234305,0.08945573781919253
primary,0.75,0.78125,0.037265872664345445,0.09657314201917823
parameter_ensemble_20bps,0.34375,0.53125,0.026503184480925146,0.09361103967306618
primary,0.53125,0.84375,0.06750467741784699,0.07523477276172705
parameter_ensemble_20bps,0.25,0.5,0.06247938134476198,0.06916712634272881
primary,0.53125,0.84375,0.059439512750979244,0.0817728252635714
parameter_ensemble_20bps,0.28125,0.5,0.05549085145826032,0.07489145706529589
primary,0.75,0.8125,0.08240775740732094,0.062059476915392965
parameter_ensemble_20bps,0.4375,0.53125,0.07811509969459304,0.055548668591983714
primary,0.4375,0.90625,0.04896734556094676,0.09078000551047406
parameter_ensemble_20bps,0.21875,0.46875,0.04271398593970611,0.08577909679250369
primary,0.53125,0.8125,0.07190592455251656,0.07103434010909579
parameter_ensemble_20bps,0.21875,0.5,0.06535835682788213,0.06643395130344065
primary,0.65625,0.8125,0.06440596894746359,0.07792833812678163
parameter_ensemble_20bps,0.1875,0.53125,0.05874406653815558,0.07239015282953885
primary,0.78125,0.78125,0.04740511259107949,0.09056708105001886
parameter_ensemble_20bps,0.3125,0.53125,0.03956775740792146,0.08645279987692818
primary,0.71875,0.75,0.07175260524559819,0.07156202909241968
parameter_ensemble_20bps,0.40625,0.5,0.06393832286056746,0.06797519367656574
primary,0.75,0.71875,0.06436230966226637,0.07840536010894802
parameter_ensemble_20bps,0.375,0.375,0.05729863834101402,0.07382816731788427
primary,0.71875,0.75,0.05285874064147257,0.08692598687598704
parameter_ensemble_20bps,0.25,0.5,0.04325569419667068,0.08412398289177137
primary,0.71875,0.8125,0.07225409381415535,0.07086764033515079
parameter_ensemble_20bps,0.375,0.40625,0.06914421476915807,0.06289238432584585
primary,0.8125,0.75,0.07232863270519065,0.07150589731169915
parameter_ensemble_20bps,0.5,0.21875,0.06808631435788944,0.06466996478636407
primary,0.8125,0.75,0.06169334015807136,0.08044299452212046
parameter_ensemble_20bps,0.5,0.46875,0.05540620650887794,0.07564552926049783
primary,0.8125,0.84375,0.05279982369268088,0.08655733762120991
