tranches,shift_days,offsets,cost_bps,multiple,cagr,sharpe,max_drawdown
7,13,"13,16,19,1,4,7,10",2.0,4.774193155789691,0.3923057790608553,1.0593013989358957,-0.3775014133302349
7,14,"14,17,20,2,5,8,11",2.0,5.835041974463957,0.45272859888802275,1.127819865821208,-0.3272351558951516
7,15,"15,18,0,3,6,9,12",2.0,8.719123251613249,0.5816632519842933,1.2646240676358296,-0.3286980532249296
7,16,"16,19,1,4,7,10,13",2.0,4.774193155789691,0.3923057790608553,1.0593013989358957,-0.3775014133302349
7,17,"17,20,2,5,8,11,14",2.0,5.835041974463957,0.45272859888802275,1.127819865821208,-0.3272351558951516
7,18,"18,0,3,6,9,12,15",2.0,8.719123251613249,0.5816632519842933,1.2646240676358296,-0.3286980532249296
7,19,"19,1,4,7,10,13,16",2.0,4.774193155789691,0.3923057790608553,1.0593013989358957,-0.3775014133302349
7,20,"20,2,5,8,11,14,17",2.0,5.835041974463957,0.45272859888802275,1.127819865821208,-0.3272351558951516
21,0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20",2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900366
21,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0",2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900366
21,2,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1",2.0,6.371908255028078,0.4800537182884905,1.1891297291681497,-0.3269281392290031
21,3,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2",2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900366
21,4,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3",2.0,6.371908255028078,0.4800537182884905,1.1891297291681495,-0.3269281392290031
21,5,"5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4",2.0,6.371908255028078,0.4800537182884905,1.1891297291681493,-0.32692813922900366
21,6,"6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5",2.0,6.371908255028079,0.4800537182884905,1.1891297291681497,-0.32692813922900366
21,7,"7,8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6",2.0,6.371908255028079,0.4800537182884905,1.1891297291681497,-0.32692813922900366
21,8,"8,9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7",2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900366
21,9,"9,10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8",2.0,6.371908255028081,0.4800537182884905,1.1891297291681497,-0.32692813922900354
21,10,"10,11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9",2.0,6.371908255028084,0.48005371828849075,1.1891297291681497,-0.3269281392290032
21,11,"11,12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10",2.0,6.371908255028084,0.48005371828849075,1.1891297291681497,-0.32692813922900354
21,12,"12,13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11",2.0,6.371908255028084,0.48005371828849075,1.1891297291681497,-0.32692813922900366
21,13,"13,14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11,12",2.0,6.371908255028084,0.48005371828849075,1.1891297291681497,-0.32692813922900366
21,14,"14,15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13",2.0,6.371908255028084,0.48005371828849075,1.1891297291681497,-0.32692813922900366
21,15,"15,16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",2.0,6.371908255028084,0.48005371828849075,1.1891297291681497,-0.32692813922900366
21,16,"16,17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",2.0,6.371908255028084,0.48005371828849075,1.1891297291681497,-0.32692813922900366
21,17,"17,18,19,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2.0,6.371908255028077,0.4800537182884903,1.1891297291681497,-0.32692813922900366
21,18,"18,19,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",2.0,6.371908255028078,0.4800537182884905,1.1891297291681497,-0.32692813922900366
21,19,"19,20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",2.0,6.371908255028077,0.4800537182884903,1.1891297291681497,-0.32692813922900366
21,20,"20,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.0,6.371908255028084,0.48005371828849075,1.1891297291681497,-0.32692813922900366
1,0,0,20.0,22.435339742440824,0.9320364844298183,1.3134453709359495,-0.43987187292967755
1,1,1,20.0,1.8753966933971746,0.14240065772487753,0.5062594358238073,-0.4715835549295341
1,2,2,20.0,2.6875212162943725,0.23282396933108207,0.6270545049371629,-0.7629530006042398
1,3,3,20.0,7.168406594762648,0.5174257847758523,0.9522177675214641,-0.5183745441218501
1,4,4,20.0,12.463670086314957,0.7059519861804766,1.190740914791732,-0.38589774908815744
1,5,5,20.0,3.1181766055926055,0.27223443262277414,0.6975303939101832,-0.6402701138679594
1,6,6,20.0,5.688801075596619,0.444942883341368,0.8818786109530411,-0.5154283167089677
1,7,7,20.0,0.9010951228865766,-0.021807838848640793,0.18779591499805048,-0.6212329910293004
1,8,8,20.0,0.612005574743309,-0.09873500854362038,0.04720432305835996,-0.6406151503613939
1,9,9,20.0,2.3625894636930744,0.1996446442063209,0.5952430623789807,-0.5408512369403939
1,10,10,20.0,3.936276240769361,0.3365637992200914,0.8000384286406648,-0.5766767487663732
1,11,11,20.0,7.784112708298786,0.5441307245616196,1.0255110494970683,-0.5269144226810192
1,12,12,20.0,4.531018557439415,0.3769804482126018,0.7797635876900323,-0.6940686392873
1,13,13,20.0,4.623051307904295,0.38285508419093706,0.8013928398798884,-0.6675583875329132
1,14,14,20.0,4.457414928441093,0.3722141021835008,0.7942973900821272,-0.6794115476662663
