,btc_above_ma,tracked_total_mcap_above_ma,bull,tracked_total_market_cap,tracked_alt_market_cap
2023-09-23,False,False,False,903177279647.6207,370980293291.77594
2023-09-24,False,False,False,892499546372.6775,366787916370.92706
2023-09-25,False,False,False,895746910910.1469,369304810021.08923
2023-09-26,False,False,False,894049388649.5802,369315656780.0565
2023-09-27,False,False,False,897840096984.319,370151451229.47296
2023-09-28,False,False,False,922142019563.1674,381101110672.2874
2023-09-29,False,False,False,923008077956.0195,384325334878.3702
2023-09-30,False,False,False,925235765864.4031,385454613973.74896
2023-10-01,False,False,False,959121887622.7188,398716994242.90784
2023-10-02,False,False,False,935769279342.7545,385119145038.74255
2023-10-03,False,False,False,934406910240.6741,385329420302.42957
2023-10-04,False,False,False,939543412914.9254,383236483233.1317
2023-10-05,False,False,False,925802777075.569,377006945821.4684
2023-10-06,False,False,False,943263738903.665,383817726189.8451
2023-10-07,False,False,False,941337329738.4043,381349219144.9385
2023-10-08,False,False,False,939177071409.7888,379992098443.03613
2023-10-09,False,False,False,919935891996.699,367453074499.12805
2023-10-10,False,False,False,914153633051.4596,365741954615.32074
2023-10-11,False,False,False,901912719614.9414,363994478679.96844
2023-10-12,False,False,False,894216032821.8795,358599505852.9953
2023-10-13,False,False,False,899372832723.2646,361620944571.8905
2023-10-14,False,False,False,900258480220.9487,362674346140.15924
2023-10-15,False,False,False,907979553516.7806,363931682938.249
2023-10-16,True,False,False,944027590939.5585,373135866125.8004
2023-10-17,True,False,False,934961658501.1437,366250136053.4208
2023-10-18,True,False,False,931681449947.489,364599223896.5304
2023-10-19,True,False,False,943865377306.545,368661492069.7988
2023-10-20,True,True,True,970550432910.311,376317270590.3827
2023-10-21,True,True,True,983952202688.9689,384920433178.1278
2023-10-22,True,True,True,992641291318.7562,392060899504.7615
2023-10-23,True,True,True,1077450807976.8708,415160940250.3367
2023-10-24,True,True,True,1094846236360.5237,415752135100.38794
2023-10-25,True,True,True,1109544511048.2275,418842148397.80176
2023-10-26,True,True,True,1105484574542.5388,421715379530.0951
2023-10-27,True,True,True,1094674920479.1229,415897510077.7759
2023-10-28,True,True,True,1099711898045.2588,417284135045.9269
2023-10-29,True,True,True,1114859920258.582,423517369639.5051
2023-10-30,True,True,True,1120023998192.1174,429498598069.6116
2023-10-31,True,True,True,1126321273706.9468,432529473620.56274
2023-11-01,True,True,True,1152623083304.9802,443176305197.198
2023-11-02,True,True,True,1135760277735.8306,436174756514.76746
2023-11-03,True,True,True,1136203556628.3762,440919385902.12524
2023-11-04,True,True,True,1150903274175.7217,448536398471.71936
2023-11-05,True,True,True,1160379938497.9866,458946319926.52075
2023-11-06,True,True,True,1173006236190.2485,471269939629.85205
2023-11-07,True,True,True,1173497592094.4106,464409343271.13574
2023-11-08,True,True,True,1182577801657.1697,469155972738.40955
2023-11-09,True,True,True,1233416371799.5308,498658747418.97705
2023-11-10,True,True,True,1252263131388.8752,505146756345.21313
2023-11-11,True,True,True,1248638690161.023,505111411455.6809
2023-11-12,True,True,True,1247542430278.179,505265499931.87244
2023-11-13,True,True,True,1225414744638.9038,495093795039.2184
2023-11-14,True,True,True,1195546589615.135,483868762442.119
2023-11-15,True,True,True,1268958228914.7634,510577908711.6057
2023-11-16,True,True,True,1210178553702.858,486265289121.48315
2023-11-17,True,True,True,1221331742024.9749,488131948404.91016
2023-11-18,True,True,True,1219574494632.4304,487077946895.37744
2023-11-19,True,True,True,1247742910257.3408,499282700994.30554
2023-11-20,True,True,True,1244796894603.182,494574667047.44226
2023-11-21,True,True,True,1180693098954.2012,464861256603.7362
2023-11-22,True,True,True,1245883719336.872,496711656285.0552
2023-11-23,True,True,True,1243633809509.0906,496964445013.89575
2023-11-24,True,True,True,1257180839619.7463,501746024660.7206
2023-11-25,True,True,True,1262819350505.1355,506085942877.99207
2023-11-26,True,True,True,1250226393356.012,500333468241.9332
2023-11-27,True,True,True,1235469920956.8394,489859328871.3369
2023-11-28,True,True,True,1254080063337.5815,496651817549.34106
2023-11-29,True,True,True,1251466064469.992,493531954079.881
2023-11-30,True,True,True,1252465827178.0837,497180549558.8274
2023-12-01,True,True,True,1279410677165.5647,504702360820.119
2023-12-02,True,True,True,1310978231553.6018,520865567373.35925
2023-12-03,True,True,True,1323217479714.4695,522863809874.3585
2023-12-04,True,True,True,1373053721889.9543,532593617045.67334
2023-12-05,True,True,True,1423974205743.1975,541382405832.5691
2023-12-06,True,True,True,1411877044392.627,535652091993.86584
2023-12-07,True,True,True,1425935270997.8394,559439053773.7128
2023-12-08,True,True,True,1462003656860.0896,577467671348.6041
2023-12-09,True,True,True,1449837544787.5984,574573675077.2346
2023-12-10,True,True,True,1459409149599.1843,582770617355.76
2023-12-11,True,True,True,1378447510252.1667,552977773030.3091
2023-12-12,True,True,True,1383963036513.0835,553741735306.2648
2023-12-13,True,True,True,1427636390977.6577,569096881442.7056
2023-12-14,True,True,True,1441883352331.3164,580480212748.9735
2023-12-15,True,True,True,1396851386162.8623,557297113262.9674
2023-12-16,True,True,True,1411831422291.5305,566189558357.6508
